# schema_version=2 start_utc=2026-05-31T02:33:11Z
t,ax,ay,az,gx,gy,gz,lat,lon,spd,hdg,qw,qx,qy,qz,sat,hdop,marker
0.0,-0.09016553240569783,-2.425423145475197,9.81967438501484,-0.020750741033162445,0.007506478462649558,-0.2406662444843738,39.29628156587763,-83.55616035535714,11.81045509265765,46.01578397182535,0.9999875144650865,-0.004482333296029045,7.013345108319827e-05,-0.002207868533339053,15,0.8980988695070886,
0.02,-5.475832826061642,-2.4900668759341578,9.841319333820152,0.0024046397262273687,-0.008434941479544343,-0.23658577751541676,39.29628156587763,-83.55616035535714,11.700652131289695,46.01578397182535,0.9999271566674073,-0.009838543018769463,0.005300984146035609,-0.004558946960177089,15,0.8980988695070886,
0.04,6.973927857877889,-2.774400869135735,9.661165801942735,0.005809359197804843,0.007024317686163504,-0.24478688913664917,39.29628156587763,-83.55616035535714,11.841364727545205,45.52259091979716,0.999878520134871,-0.013581184345286447,-0.00280742616137915,-0.007114405317954066,15,0.8980988695070886,
0.06,0.7062692361096423,-2.6508983468565726,9.73879418481382,-0.007778033312040339,-0.003820769302332928,-0.24712867144218,39.29628156587763,-83.55616035535714,11.854092262379034,45.52259091979716,0.9997778479852178,-0.018630305120571723,-0.002291622532748648,-0.00958722458944064,15,0.8980988695070886,
0.08,-11.551391563087469,-2.8377903783401037,9.7110460431136,0.010290555715599854,-0.0006105867579226323,-0.2430363529480252,39.29628156587763,-83.55616035535714,11.619989421010995,45.022742474846794,0.9996636615291897,-0.02223491173453938,0.006124605027564674,-0.011860089859159685,15,0.8980988695070886,
0.1,2.4366086385408594,-2.7879371475345915,9.850074990934898,0.01158652962959303,-0.000752460258672159,-0.2304959581907569,39.296314131444724,-83.55615498187697,11.668832433160281,45.022742474846794,0.9995779854540596,-0.0250462400588535,0.00311593532709875,-0.014381509015246435,16,0.869452624588295,
0.12,5.588576589578954,-2.9652855232922626,9.854802865472871,0.014187938844228571,0.0018502169824133148,-0.25048537476646676,39.296314131444724,-83.55615498187697,11.780218026187871,44.516173106809205,0.9994364729455363,-0.02814920344795275,-0.006324622774535586,-0.01715686562842105,16,0.869452624588295,
0.14,-1.7213349374676568,-2.927842133537568,9.829924326755153,-0.013339097539361244,0.0068351922750873595,-0.26339989659318097,39.296314131444724,-83.55615498187697,11.741386695006224,44.516173106809205,0.9992987231134941,-0.03171826777180458,-0.003436363723851499,-0.019601144804676007,16,0.869452624588295,
0.16,1.0612515459331737,-3.064988063213478,9.964795788921887,-0.005131417607936375,-0.008914462038451908,-0.24853499431155218,39.296314131444724,-83.55615498187697,11.761751336887354,44.00281727937427,0.9991670347044934,-0.033682193670419934,-0.005998396086399371,-0.022243332344070145,16,0.869452624588295,
0.18,-3.466871738021465,-3.258811852794179,10.0113424391229,-0.012559492060532683,-0.005147383180025375,-0.2543961495051555,39.296314131444724,-83.55615498187697,11.691319156454927,43.48260960499688,0.9990522826079209,-0.0357769124944565,-0.002218444610059606,-0.024690638950404898,16,0.869452624588295,
0.2,6.598388365426788,-2.8459868078378747,9.559205482253033,0.01810342848266233,-0.0032450445489220618,-0.27682121530496334,39.29629330175238,-83.55615282489286,11.826097551136145,43.48260960499688,0.9988674733104518,-0.03778231604582883,-0.008821284583344764,-0.027540012616313506,16,0.8746348490515883,
0.22,-0.6311091372688695,-3.126799825416155,9.953839884655395,0.0021537982170661044,0.00938453535516506,-0.24986710266829995,39.29629330175238,-83.55615282489286,11.813870658333666,42.95548500862801,0.9987699047522836,-0.03894777870109097,-0.006099694145381838,-0.030075598526015938,16,0.8746348490515883,
0.24,-2.990987292104438,-3.151413862038671,9.972295416169825,-0.009456997404595628,-0.005420066237922999,-0.2702695842893288,39.29629330175238,-83.55615282489286,11.752897453037894,42.95548500862801,0.9986647628420496,-0.040153427791531374,-0.000860456769646584,-0.03249081883194872,16,0.8746348490515883,
0.26,4.050502354023392,-2.867010593962388,9.950844399611043,0.02572568066761605,-0.018662138268839088,-0.26525885119951725,39.29629330175238,-83.55615282489286,11.833482238722596,42.421378900753425,0.9984758319597624,-0.04240681804381798,-0.002512455901348321,-0.035232972355487516,16,0.8746348490515883,
0.28,-2.9005356510686022,-3.444722430150775,9.702287431380203,-0.007178200640194958,-0.0326732300638655,-0.29122783811069636,39.29629330175238,-83.55615282489286,11.774090320893837,42.421378900753425,0.9982385524987797,-0.04556695499650378,0.0010856117706101879,-0.03797718215680693,16,0.8746348490515883,
0.3,-5.649012540125814,-2.9524403917354793,9.8969152716723,0.015548676769528143,0.015733680566119713,-0.23820524519912478,39.296307355832965,-83.5561398996393,11.663463858187168,41.88022735990675,0.9981056941157607,-0.04568075592149107,0.008651991785462228,-0.040291872012618066,15,0.9118211451651252,
0.32,4.824239337689876,-3.3597389430887596,9.647212919282385,0.0008231275365435731,0.004250849415189023,-0.24783578298097733,39.296307355832965,-83.5561398996393,11.756949207248404,41.33196732509303,0.9979597601445019,-0.04684067940332863,0.003350779023748608,-0.04325552178967382,15,0.9118211451651252,
0.34,-5.590895452791614,-3.1541168040003886,9.596817768999683,-0.0037809049991866565,0.005580571779267319,-0.2870360168054317,39.296307355832965,-83.5561398996393,11.643644869984024,41.33196732509303,0.9976515197149154,-0.049785049355158435,0.011893174277691562,-0.04551314619782815,15,0.9118211451651252,
0.36,7.250007557383458,-3.3180204453972606,9.79770589590409,0.005238702720174344,0.021533592060161345,-0.2801101177486988,39.296307355832965,-83.5561398996393,11.785714948430757,40.77653679839178,0.997476828089285,-0.051454905532470334,0.005610817993825552,-0.04858897861679921,15,0.9118211451651252,
0.38,-3.967278577768639,-3.6862558628543822,9.993525752610921,0.009394359181477166,0.0004863681027898931,-0.3031254547177706,39.296307355832965,-83.5561398996393,11.706256588552202,40.77653679839178,0.9971283817641899,-0.05468036419624893,0.010707720779351037,-0.051287354848978506,15,0.9118211451651252,
0.4,-1.0559733822119992,-3.151082304137092,9.689693746708498,-0.012011244012834219,0.03839326306500341,-0.2550181606759686,39.29630969310325,-83.55611085688611,11.687903667212627,40.21387505787795,0.9969028397621618,-0.055925133273984434,0.01197176646119926,-0.05397948082580436,14,0.9177157198330328,
0.42,-2.0610838463767887,-3.2765309457252085,10.043087160571016,0.002632192347327581,0.026091600274460967,-0.3031333506397057,39.29630969310325,-83.55611085688611,11.64288331406678,40.21387505787795,0.9966761649279618,-0.056523826167613436,0.014530350215820817,-0.05683791219308969,14,0.9177157198330328,
0.44,7.281581239506245,-3.4269921158774332,9.696066961528864,0.0011189993853909595,-0.00171918429900562,-0.3076032228616109,39.29630969310325,-83.55611085688611,11.789558586864171,39.64392288131414,0.99643594293916,-0.05877961824459198,0.006888027014790929,-0.06010759670632631,14,0.9177157198330328,
